Model Name,Dataset Size,Translation X, Translation Y,Rotation,Scale,Shear X, Shear Y,Top-1 Accuracy,Top-5 Accuracy
siglip_large,5000,-25,0,0.0,1.0,0,0,0.2446,0.4008
siglip_large,5000,0,-25,0.0,1.0,0,0,0.2460,0.4060
siglip_large,5000,50,0,0.0,1.0,0,0,0.2332,0.3980
siglip_large,5000,0,50,0.0,1.0,0,0,0.2424,0.3950
siglip_large,5000,-50,0,0.0,1.0,0,0,0.2386,0.4008
siglip_large,5000,0,-50,0.0,1.0,0,0,0.2380,0.3996
siglip_large,5000,0,0,30,1.0,0,0,0.2202,0.3792
siglip_large,5000,0,0,60,1.0,0,0,0.1886,0.3384
siglip_large,5000,0,0,90,1.0,0,0,0.2238,0.3750
siglip_large,5000,0,0,120,1.0,0,0,0.1706,0.2980
siglip_large,5000,0,0,150,1.0,0,0,0.1630,0.2900
siglip_large,5000,0,0,180,1.0,0,0,0.2042,0.3450
siglip_large,5000,0,0,210,1.0,0,0,0.1632,0.2912
siglip_large,5000,0,0,240,1.0,0,0,0.1672,0.2978
siglip_large,5000,0,0,270,1.0,0,0,0.2226,0.3736
siglip_large,5000,0,0,300,1.0,0,0,0.1958,0.3442
siglip_large,5000,0,0,330,1.0,0,0,0.2188,0.3762
siglip_large,5000,0,0,0.0,0.5,0,0,0.2142,0.3666
siglip_large,5000,0,0,0.0,1.5,0,0,0.2134,0.3686
siglip_large,5000,0,0,0.0,2.0,0,0,0.1804,0.3174
siglip_large,5000,0,0,0.0,1.0,25,0,0.2216,0.3796
siglip_large,5000,0,0,0.0,1.0,0,25,0.2164,0.3728
siglip_large,5000,0,0,0.0,1.0,-25,0,0.2244,0.3756
siglip_large,5000,0,0,0.0,1.0,0,-25,0.2170,0.3686
siglip_large,5000,0,0,0.0,1.0,50,0,0.1440,0.2692
siglip_large,5000,0,0,0.0,1.0,0,50,0.1552,0.2762
siglip_large,5000,0,0,0.0,1.0,-50,0,0.1426,0.2636
siglip_large,5000,0,0,0.0,1.0,0,-50,0.1504,0.2694
