Model Name,Dataset Size,Translation X, Translation Y,Rotation,Scale,Shear X, Shear Y,Top-1 Accuracy,Top-5 Accuracy
vit_large_patch16_224,5000,0,50,0.0,1.0,0,0,0.8238,0.9592
vit_large_patch16_224,5000,-50,0,0.0,1.0,0,0,0.8248,0.9644
vit_large_patch16_224,5000,0,-50,0.0,1.0,0,0,0.8268,0.9626
vit_large_patch16_224,5000,0,0,30,1.0,0,0,0.8304,0.9650
vit_large_patch16_224,5000,0,0,60,1.0,0,0,0.8244,0.9576
vit_large_patch16_224,5000,0,0,90,1.0,0,0,0.7446,0.9144
vit_large_patch16_224,5000,0,0,120,1.0,0,0,0.7012,0.8888
vit_large_patch16_224,5000,0,0,150,1.0,0,0,0.6784,0.8696
vit_large_patch16_224,5000,0,0,180,1.0,0,0,0.6752,0.8776
vit_large_patch16_224,5000,0,0,210,1.0,0,0,0.6732,0.8710
vit_large_patch16_224,5000,0,0,240,1.0,0,0,0.7088,0.8934
vit_large_patch16_224,5000,0,0,270,1.0,0,0,0.7416,0.9150
vit_large_patch16_224,5000,0,0,300,1.0,0,0,0.8190,0.9602
vit_large_patch16_224,5000,0,0,330,1.0,0,0,0.8284,0.9642
vit_large_patch16_224,5000,0,0,0.0,0.5,0,0,0.7416,0.9134
vit_large_patch16_224,5000,0,0,0.0,1.5,0,0,0.7998,0.9478
vit_large_patch16_224,5000,0,0,0.0,2.0,0,0,0.7532,0.9202
vit_large_patch16_224,5000,0,0,0.0,1.0,25,0,0.8286,0.9660
vit_large_patch16_224,5000,0,0,0.0,1.0,0,25,0.8336,0.9652
vit_large_patch16_224,5000,0,0,0.0,1.0,-25,0,0.8338,0.9630
vit_large_patch16_224,5000,0,0,0.0,1.0,0,-25,0.8304,0.9646
vit_large_patch16_224,5000,0,0,0.0,1.0,50,0,0.7090,0.8918
vit_large_patch16_224,5000,0,0,0.0,1.0,0,50,0.6842,0.8764
vit_large_patch16_224,5000,0,0,0.0,1.0,-50,0,0.6980,0.8896
vit_large_patch16_224,5000,0,0,0.0,1.0,0,-50,0.6908,0.8808
