Model Name,Dataset Size,Translation X, Translation Y,Rotation,Scale,Shear X, Shear Y,Top-1 Accuracy,Top-5 Accuracy,Type,Time
vit_base,5000,0,0,330,1.0,0,0,0.7020,0.9070,TTA_12,157.80
vit_base,5000,0,0,0.0,1.0,0,0,0.7140,0.9164,feature_averaging_4,63.92
vit_base,5000,0,0,30,1.0,0,0,0.7050,0.9086,feature_averaging_4,65.19
vit_base,5000,0,0,60,1.0,0,0,0.7024,0.9022,feature_averaging_4,64.64
vit_base,5000,0,0,90,1.0,0,0,0.7330,0.9238,feature_averaging_4,64.74
vit_base,5000,0,0,120,1.0,0,0,0.7106,0.9078,feature_averaging_4,64.95
vit_base,5000,0,0,150,1.0,0,0,0.6974,0.9012,feature_averaging_4,66.02
vit_base,5000,0,0,180,1.0,0,0,0.7400,0.9298,feature_averaging_4,64.20
vit_base,5000,0,0,210,1.0,0,0,0.6996,0.9020,feature_averaging_4,65.84
vit_base,5000,0,0,240,1.0,0,0,0.7108,0.9120,feature_averaging_4,64.88
vit_base,5000,0,0,270,1.0,0,0,0.7340,0.9256,feature_averaging_4,64.63
vit_base,5000,0,0,300,1.0,0,0,0.6978,0.9032,feature_averaging_4,65.00
vit_base,5000,0,0,330,1.0,0,0,0.7048,0.9070,feature_averaging_4,65.88
vit_base,5000,0,0,0.0,1.0,0,0,0.7304,0.9284,feature_averaging_8,110.34
vit_base,5000,0,0,30,1.0,0,0,0.7020,0.9074,feature_averaging_8,111.44
vit_base,5000,0,0,60,1.0,0,0,0.7038,0.9054,feature_averaging_8,110.65
vit_base,5000,0,0,90,1.0,0,0,0.7316,0.9258,feature_averaging_8,110.87
vit_base,5000,0,0,120,1.0,0,0,0.6998,0.9068,feature_averaging_8,110.89
vit_base,5000,0,0,150,1.0,0,0,0.7016,0.9042,feature_averaging_8,112.08
vit_base,5000,0,0,180,1.0,0,0,0.7298,0.9232,feature_averaging_8,110.36
vit_base,5000,0,0,210,1.0,0,0,0.6958,0.9042,feature_averaging_8,112.15
vit_base,5000,0,0,240,1.0,0,0,0.7032,0.9066,feature_averaging_8,110.97
vit_base,5000,0,0,270,1.0,0,0,0.7334,0.9258,feature_averaging_8,110.85
vit_base,5000,0,0,300,1.0,0,0,0.7018,0.9054,feature_averaging_8,110.81
